id,importanceSampling
1,11.475185
2,18.971397
3,16.520245
4,16.429188
5,14.665217
6,21.091019
7,15.315011
8,18.047036
9,22.262168
10,15.756994
11,7.390797
12,17.166874
13,12.610348
14,25.476819
15,11.082461
16,18.473734
17,17.616722
18,28.782907
19,17.030148
20,16.529172
21,16.304953
22,10.977681
23,20.424011
24,24.342631
25,40.653020
26,14.249376
27,12.195059
28,9.161014
29,6.675102
30,10.443557
31,7.150686
32,22.052543
33,11.233980
34,11.407326
35,14.376590
36,18.266538
37,11.993682
38,22.433107
39,17.454243
40,9.855745
41,16.646260
42,16.674542
43,8.225448
44,14.895918
45,15.375531
46,7.028963
47,7.261535
48,44.843945
49,17.537611
50,25.021518
51,22.063701
52,23.993910
53,13.732008
54,21.691504
55,6.477952
56,8.382310
57,12.412103
58,17.242933
59,17.575928
