parameter,value,CV,se_sa,rse_sa
Tlag_pop,0.764322535850091,,0.420496337644856,55.0155618762665
ka_pop,1.45620698534217,,0.570797523525994,39.1975542811912
V_pop,7.96019644663432,,0.329706577234286,4.14194020769036
Cl_pop,0.132481552644036,,0.00686176474906852,5.17941148191807
omega_Tlag,0.605115662973185,66.4976041111586,0.430186959202578,71.091691312185
omega_ka,1.08210228973354,149.165681014931,0.380135650264131,35.1293638199154
omega_V,0.222522809015499,22.530606992046,0.0306317450105289,13.7656652574413
omega_Cl,0.286211422517007,29.2174087265823,0.0368739656541468,12.8834710123967
a,0.247145876284213,,0.0397217695323461,16.072195955504
b,0.0503195895352995,,0.00775699508916458,15.4154577984445
