parameter,value,CV,se_lin,rse_lin
Tlag_pop,0.780016055663023,,0.17837065691411,22.8675622276124
ka_pop,1.35928759069304,,0.410771702678662,30.2196316284495
V_pop,8.0607521386391,,0.22040205773655,2.73426169104066
beta_V_lw70,0.898951301623242,,0.140300259496287,15.6071034374104
Cl_pop,0.133622588749826,,0.00636805640551266,4.76570351247663
beta_Cl_lw70,0.595223300469559,,0.252983840620238,42.5023416288751
omega_Tlag,0.541595485175291,58.3848784310045,0.170849072479768,31.5455126854448
omega_ka,0.850145400049819,102.960425004182,0.237536679119416,27.9407121541204
omega_V,0.136594432002439,13.7234061647908,0.0214430916253883,15.6983643557341
omega_Cl,0.263663140318272,26.8312553840452,0.0340742392287991,12.9233988443237
a,0.238670616593435,,0.0426132443515246,17.8544158303803
b,0.0526737305673756,,0.00870422703536792,16.5247969749062
