rep,id,ka,V,k,k12,k21,km,Kpm
1,1,0.204123,11.4115,0.100571,0.0454054,0.0588964,0.02725,0.104885
2,1,0.17537,10.5541,0.113712,0.0385949,0.0599189,0.0272632,0.100836
3,1,0.188065,11.5221,0.101059,0.040548,0.0479562,0.0297674,0.103423
4,1,0.187075,11.336,0.104082,0.0395177,0.0507633,0.0281924,0.101606
5,1,0.18869,11.9351,0.0926838,0.0458007,0.0534555,0.0279254,0.0999565
6,1,0.191301,11.5277,0.0990375,0.0388822,0.0502446,0.0270174,0.101577
7,1,0.190751,12.3128,0.0948153,0.0382731,0.0542657,0.0291824,0.103312
1,2,0.165981,10.1168,0.0886748,0.0366547,0.0499228,0.026344,0.102168
2,2,0.182434,10.3014,0.0893344,0.0455258,0.053337,0.0254457,0.100884
3,2,0.176431,10.3152,0.0901673,0.0366995,0.0586849,0.0259914,0.103599
4,2,0.175944,9.6707,0.0972893,0.0419111,0.0519148,0.026797,0.101826
5,2,0.171433,9.80398,0.102843,0.0412639,0.0447155,0.0249048,0.0974413
6,2,0.186488,10.2272,0.0903458,0.0389752,0.0502967,0.0257976,0.0993178
7,2,0.182007,10.0238,0.100022,0.0478167,0.0571848,0.0253518,0.101413
1,3,0.192225,12.3953,0.106361,0.0389075,0.0570442,0.0286281,0.102681
2,3,0.183779,12.132,0.11178,0.0421382,0.0639282,0.0262156,0.102333
3,3,0.191213,12.6333,0.094319,0.0401398,0.0453887,0.0290235,0.104151
4,3,0.184332,11.6781,0.112558,0.0438565,0.0613222,0.0271996,0.0979959
5,3,0.196531,12.3884,0.1023,0.0456691,0.0621151,0.0297318,0.10494
6,3,0.206967,12.6482,0.0972773,0.0450403,0.0552086,0.0300208,0.102424
7,3,0.203121,12.7935,0.0959527,0.0402633,0.054446,0.0293518,0.0977838
1,4,0.239397,10.7268,0.107109,0.0393265,0.0495434,0.0283209,0.0986238
2,4,0.23379,10.9288,0.0927349,0.0393825,0.0486025,0.0318374,0.102991
3,4,0.223178,10.7376,0.101832,0.0345392,0.0505616,0.0292007,0.096349
4,4,0.21629,10.4043,0.108836,0.0393343,0.0500014,0.0304937,0.100658
5,4,0.221509,10.6386,0.102358,0.0421151,0.049579,0.0299223,0.101995
6,4,0.243918,10.3956,0.10509,0.0373905,0.046251,0.0296623,0.101056
7,4,0.222925,10.9761,0.0947691,0.0355655,0.0450767,0.0305561,0.102222
1,5,0.178298,12.3567,0.107494,0.0346531,0.0568372,0.0284846,0.101773
2,5,0.179681,12.05,0.103855,0.0398646,0.0478177,0.0319095,0.104352
3,5,0.19747,13.1549,0.0976908,0.0351375,0.0627012,0.0285148,0.102637
4,5,0.172594,12.0556,0.116141,0.0373137,0.0478425,0.0283661,0.102196
5,5,0.19973,13.2032,0.102456,0.0359009,0.0659647,0.0272346,0.0990855
6,5,0.190729,13.3586,0.0978934,0.0356335,0.0649247,0.0287939,0.101255
7,5,0.183167,11.5519,0.109842,0.0431209,0.0683654,0.0288521,0.101742
1,6,0.190608,11.3225,0.0981047,0.0434119,0.0599961,0.0276271,0.100247
2,6,0.191866,11.0412,0.102426,0.0401063,0.0577706,0.0276256,0.0989745
3,6,0.179308,11.105,0.0973552,0.0438369,0.0580248,0.0285433,0.102358
4,6,0.169114,11.422,0.0995891,0.037196,0.0431299,0.0272822,0.0994249
5,6,0.18096,10.9067,0.104152,0.0399381,0.0483937,0.029538,0.0974555
6,6,0.191691,11.2807,0.101746,0.0380308,0.0496315,0.0272619,0.0999484
7,6,0.182405,11.7452,0.0954567,0.0410791,0.0545111,0.0267504,0.100587
1,7,0.175112,12.8976,0.101819,0.0424234,0.0465555,0.0353053,0.100648
2,7,0.157446,12.1064,0.109504,0.0393808,0.0508579,0.0328865,0.103003
3,7,0.159106,12.4581,0.108049,0.0383723,0.048855,0.0346939,0.0993115
4,7,0.148795,12.5676,0.0964781,0.0379069,0.0563709,0.0336111,0.100416
5,7,0.175284,12.5601,0.105906,0.0397194,0.0473129,0.0346536,0.10137
6,7,0.17699,13.1908,0.0968325,0.0448345,0.0481682,0.0339135,0.100578
7,7,0.179985,12.9126,0.0984863,0.0417075,0.0578003,0.0327696,0.0979676
1,8,0.198761,10.8356,0.0916948,0.0387846,0.0431686,0.0283008,0.0987459
2,8,0.220373,10.9533,0.0948348,0.050229,0.059641,0.0277652,0.101541
3,8,0.201179,10.4795,0.0960596,0.0431235,0.0422391,0.0298747,0.101004
4,8,0.21057,10.5013,0.0953094,0.0450235,0.0480035,0.029907,0.0993827
5,8,0.17753,9.72026,0.102941,0.0495213,0.0481773,0.0317135,0.102
6,8,0.219415,11.1575,0.0867844,0.0407368,0.042412,0.0305857,0.098191
7,8,0.201096,11.2073,0.0943412,0.0425631,0.04562,0.0284607,0.103128
1,9,0.226926,11.7965,0.100938,0.045361,0.0443017,0.0300905,0.100757
2,9,0.242664,11.5028,0.0892304,0.0462248,0.0523197,0.0299883,0.101892
3,9,0.226085,10.441,0.113631,0.048566,0.0519681,0.030125,0.0993097
4,9,0.215036,11.2388,0.104564,0.0436098,0.0416145,0.0307336,0.100721
5,9,0.212046,11.1935,0.102073,0.0398904,0.0513472,0.0277094,0.102444
6,9,0.234767,11.344,0.0996956,0.051002,0.0573319,0.0315945,0.102163
7,9,0.214639,11.3032,0.0975869,0.0399482,0.0449288,0.0303651,0.102138
1,10,0.167957,12.7009,0.100293,0.0503862,0.0497553,0.0353248,0.095903
2,10,0.172086,13.8106,0.088966,0.0461023,0.0541251,0.03645,0.103589
3,10,0.159843,11.5439,0.11683,0.0510183,0.0526438,0.0372008,0.101664
4,10,0.157184,11.9913,0.110192,0.0486476,0.0460687,0.0372496,0.100929
5,10,0.171309,12.8655,0.0966716,0.0400562,0.049272,0.0345355,0.102259
6,10,0.16353,12.9812,0.0931395,0.0470241,0.0468916,0.0361703,0.0972231
7,10,0.163699,13.1873,0.0915138,0.0392965,0.0470165,0.0360695,0.0992254
1,11,0.176018,10.5923,0.100309,0.0477859,0.0481132,0.0293802,0.101033
2,11,0.183808,10.4722,0.103765,0.0415476,0.0522496,0.0270533,0.0986136
3,11,0.17764,11.1308,0.0937451,0.0418978,0.0507361,0.0284388,0.103103
4,11,0.187036,10.8838,0.0966339,0.0413643,0.0504237,0.0288068,0.102727
5,11,0.174578,11.0917,0.0983228,0.0381343,0.0553305,0.0278265,0.101058
6,11,0.208934,10.459,0.103665,0.0491628,0.0557385,0.0292456,0.100476
7,11,0.180927,10.5815,0.101038,0.0418466,0.0427102,0.0286301,0.103175
1,12,0.221782,12.1884,0.0980396,0.0419449,0.0464901,0.0332862,0.0973868
2,12,0.237885,11.2979,0.110472,0.0411628,0.0482946,0.0319786,0.0991046
3,12,0.243055,11.8463,0.100405,0.0363132,0.0545764,0.0321503,0.100029
4,12,0.215843,10.9367,0.114592,0.0376417,0.0491805,0.031237,0.0995395
5,12,0.199435,10.8036,0.112827,0.0379698,0.0533155,0.033749,0.0999743
6,12,0.26069,12.4938,0.096844,0.0372803,0.0493027,0.030229,0.0997276
7,12,0.222773,11.9031,0.112081,0.0379846,0.0522954,0.0297611,0.100867
1,13,0.182875,11.6326,0.10741,0.0405177,0.0577368,0.0276997,0.102985
2,13,0.179768,11.3562,0.103813,0.0380733,0.0469614,0.0288681,0.101671
3,13,0.193707,12.1345,0.0960672,0.047878,0.0569149,0.0271169,0.0996955
4,13,0.18742,11.5822,0.0945865,0.0380902,0.0526335,0.0285756,0.0988621
5,13,0.188219,11.8146,0.105828,0.0369523,0.0479604,0.0279567,0.100483
6,13,0.190333,11.4973,0.101203,0.0442694,0.0551658,0.0283456,0.104125
7,13,0.200064,12.0476,0.0977225,0.0405218,0.0445314,0.0279112,0.102049
1,14,0.215939,12.3585,0.0963997,0.0405738,0.0491586,0.0287195,0.10178
2,14,0.203647,11.5318,0.117673,0.0359386,0.0575918,0.0284252,0.103087
3,14,0.228583,12.0459,0.105763,0.0438772,0.0547857,0.0278441,0.105908
4,14,0.241109,12.7747,0.0986357,0.0396917,0.0493156,0.0282659,0.100354
5,14,0.25022,13.9323,0.0866762,0.0408808,0.0558155,0.0263349,0.100161
6,14,0.228841,12.2297,0.0955217,0.039405,0.0568087,0.0297868,0.101486
7,14,0.217318,11.3532,0.113931,0.0382,0.056989,0.0266732,0.0999009
1,15,0.185659,13.5693,0.117711,0.0389769,0.0563514,0.0311358,0.10238
2,15,0.191514,13.9069,0.109377,0.0478528,0.0532581,0.0316817,0.0979269
3,15,0.22129,14.6066,0.0987486,0.0473368,0.0545547,0.0317187,0.101514
4,15,0.18362,14.796,0.0947804,0.0436944,0.043215,0.0310972,0.101873
5,15,0.191226,13.4309,0.105459,0.0382857,0.054171,0.0323745,0.105146
6,15,0.211686,14.3881,0.0985965,0.0472187,0.0580928,0.0320537,0.101706
7,15,0.171777,12.8913,0.123159,0.0433292,0.0597224,0.0325469,0.101299
1,16,0.220549,10.8333,0.105132,0.0374728,0.0463634,0.0285368,0.0972989
2,16,0.221143,11.4828,0.0993491,0.0441567,0.0555212,0.0269032,0.102808
3,16,0.21554,11.3201,0.110701,0.0400137,0.0519713,0.0272101,0.103617
4,16,0.246895,11.5066,0.10212,0.0446857,0.0592274,0.0278136,0.101954
5,16,0.230339,11.3931,0.103333,0.0459915,0.0572042,0.0267295,0.100277
6,16,0.217184,11.2862,0.0955097,0.0411929,0.0563342,0.0288498,0.0996776
7,16,0.197471,10.4807,0.115202,0.0373208,0.0486347,0.0284563,0.102706
