rep,id,eta_ka,eta_V,eta_k,eta_k12,eta_k21,eta_km,eta_Kpm
1,1,0.0353929,-0.0335281,-0.0118686,0.0899855,0.14604,-0.0945791,0.0390486
2,1,-0.116431,-0.111641,0.11093,-0.0725271,0.163252,-0.0940925,-0.000320058
3,1,-0.0465426,-0.0238837,-0.00703272,-0.0231605,-0.0594521,-0.00621734,0.0250059
4,1,-0.0518212,-0.0401727,0.0224465,-0.0488989,-0.00256767,-0.0605778,0.00727846
5,1,-0.0432244,0.0113277,-0.0935432,0.0986524,0.0491098,-0.0700956,-0.00908373
6,1,-0.0294832,-0.0233968,-0.0272388,-0.0651102,-0.0128368,-0.103152,0.00699542
7,1,-0.0323582,0.0424823,-0.0708066,-0.0809,0.0641525,-0.0260654,0.0239316
1,2,-0.171455,-0.153956,-0.137761,-0.124104,-0.0192618,-0.128392,0.0127993
2,2,-0.076943,-0.135876,-0.130351,0.0926319,0.0468902,-0.163085,0.000150028
3,2,-0.110399,-0.134539,-0.12107,-0.122882,0.142442,-0.141866,0.0267093
4,2,-0.113165,-0.199053,-0.0450478,0.00990408,0.0198631,-0.111342,0.00944704
5,2,-0.139136,-0.185365,0.0104634,-0.00565929,-0.12942,-0.184569,-0.034569
6,2,-0.0549632,-0.143099,-0.119092,-0.0627216,-0.011801,-0.149349,-0.0154945
7,2,-0.0792838,-0.163195,-0.0173468,0.141728,0.116548,-0.166783,0.00537825
1,3,-0.0246654,0.0491635,0.0441063,-0.0644599,0.114085,-0.045244,0.0178105
2,3,-0.0695948,0.0276916,0.0937981,0.0153072,0.22802,-0.133276,0.0144119
3,3,-0.029944,0.0681805,-0.0760545,-0.0332771,-0.114478,-0.0315263,0.0320226
4,3,-0.0665896,-0.010435,0.100732,0.0552759,0.186402,-0.0964281,-0.0288939
5,3,-0.00250914,0.0486106,0.00516846,0.0957752,0.199249,-0.00741394,0.0395675
6,3,0.0492277,0.0693607,-0.0451712,0.0819122,0.0813784,0.00226031,0.0153057
7,3,0.0304738,0.0807831,-0.0588819,-0.0302067,0.0674683,-0.0202759,-0.0310608
1,4,0.194792,-0.0954072,0.0511143,-0.0537481,-0.0268913,-0.0560296,-0.0225066
2,4,0.171094,-0.0767524,-0.0929918,-0.0523259,-0.0460654,0.0610088,0.0208175
3,4,0.12464,-0.0944047,0.000587294,-0.183553,-0.00654734,-0.025437,-0.0458427
4,4,0.0932899,-0.125936,0.0671071,-0.0535485,-0.0176892,0.0178877,-0.00209429
5,4,0.117132,-0.103661,0.00573728,0.0147603,-0.0261742,-0.00102744,0.0111025
6,4,0.213501,-0.12677,0.0320839,-0.104229,-0.0956565,-0.00975347,0.00185751
7,4,0.123507,-0.072429,-0.0712943,-0.154271,-0.121374,0.0199322,0.0133236
1,5,-0.0998743,0.0460419,0.0546987,-0.18026,0.11045,-0.0502666,0.00892952
2,5,-0.092146,0.0209094,0.0202571,-0.0401588,-0.0623439,0.0632725,0.0339537
3,5,0.00225792,0.108641,-0.04093,-0.166378,0.208639,-0.0492077,0.0173822
4,5,-0.132391,0.0213751,0.132071,-0.106285,-0.0618268,-0.0544379,0.013069
5,5,0.0136375,0.112308,0.00669921,-0.144885,0.25938,-0.0951443,-0.0178364
6,5,-0.0324755,0.124005,-0.0388578,-0.152361,0.243487,-0.0394684,0.00381954
7,5,-0.0729297,-0.0213066,0.0763031,0.0383605,0.295126,-0.0374477,0.00861644
1,6,-0.0331128,-0.0413575,-0.036702,0.0450879,0.16454,-0.0808347,-0.00618569
2,6,-0.0265331,-0.0665172,0.00640686,-0.0341133,0.126739,-0.0808891,-0.0189568
3,6,-0.0942234,-0.0607579,-0.0443712,0.0548294,0.131129,-0.0482082,0.014654
4,6,-0.152757,-0.0326107,-0.0216844,-0.109446,-0.165524,-0.0933969,-0.0144166
5,6,-0.0850528,-0.0787764,0.0231154,-0.0383148,-0.0503715,-0.0139541,-0.0344237
6,6,-0.0274444,-0.0450591,-0.000255567,-0.0872509,-0.0251154,-0.0941408,-0.00916513
7,6,-0.0771006,-0.00471246,-0.0640642,-0.0101481,0.0686637,-0.11308,-0.00280083
1,7,-0.117903,0.08889,0.000463633,0.022054,-0.0890963,0.164401,-0.00218701
2,7,-0.22425,0.0255787,0.0732228,-0.0523671,-0.000705743,0.0934324,0.0209369
3,7,-0.21376,0.0542154,0.0598461,-0.07831,-0.0408836,0.146932,-0.015558
4,7,-0.280763,0.062968,-0.0534215,-0.0905127,0.102213,0.115225,-0.00449578
5,7,-0.11692,0.0623739,0.0398146,-0.0438057,-0.072958,0.145769,0.00495833
6,7,-0.107236,0.111366,-0.0497549,0.0773319,-0.0550409,0.124181,-0.00288886
7,7,-0.0904586,0.0900474,-0.0328198,0.00503428,0.127253,0.0898691,-0.0291825
1,8,0.00877424,-0.0853168,-0.104272,-0.067624,-0.164628,-0.056742,-0.0212699
2,8,0.111994,-0.0745088,-0.0706013,0.190945,0.158602,-0.0758465,0.00664049
3,8,0.0208646,-0.118731,-0.057768,0.0384207,-0.186394,-0.002619,0.00134356
4,8,0.0664871,-0.116657,-0.0656085,0.0815382,-0.0584674,-0.00153968,-0.0148415
5,8,-0.104191,-0.193941,0.0114227,0.176756,-0.0548531,0.0571111,0.0111556
6,8,0.107634,-0.0560451,-0.15931,-0.0185137,-0.182308,0.0209015,-0.0269051
7,8,0.0204517,-0.0515842,-0.0758187,0.0253424,-0.109395,-0.0511061,0.0221518
1,9,0.141293,-0.000350797,-0.00823511,0.0890052,-0.138716,0.00457828,-0.00110445
2,9,0.208346,-0.0255671,-0.131515,0.107869,0.0276333,0.00117744,0.0100986
3,9,0.137582,-0.12241,0.110216,0.157277,0.0208886,0.00572461,-0.0155765
4,9,0.0874741,-0.0487821,0.0270619,0.0496359,-0.201292,0.0257266,-0.0014643
5,9,0.0734749,-0.0528163,0.00294677,-0.0395103,0.0088689,-0.0778606,0.0154962
6,9,0.175262,-0.0394631,-0.0206161,0.206219,0.119116,0.0533514,0.0127466
7,9,0.085628,-0.043064,-0.0419939,-0.0380627,-0.124662,0.0136624,0.0125018
1,10,-0.15962,0.0735183,-0.014642,0.194071,-0.0226245,0.164953,-0.050482
2,10,-0.135335,0.157285,-0.134483,0.105217,0.0615576,0.196309,0.0266078
