id,importanceSampling
1,97.710157
2,154.874299
3,98.781825
4,124.048957
5,112.247032
6,110.295837
7,89.354570
8,120.833746
9,108.531153
10,91.781082
11,133.869820
12,97.138120
13,107.552560
14,101.641887
15,114.574742
16,111.792213
17,107.346570
18,102.885646
19,93.317659
20,95.221807
21,88.287038
22,99.627330
23,113.614612
24,102.599851
25,135.545935
26,106.535529
27,123.295950
28,107.371534
29,100.453262
30,92.958231
31,102.907511
32,97.500536
33,111.671815
34,128.533947
35,99.546201
36,97.808855
37,103.814341
38,92.301358
39,106.612820
40,97.958015
41,100.742832
42,100.033017
43,110.135401
44,138.997637
45,106.612112
46,108.740545
47,84.274701
48,93.003186
49,102.485351
50,90.232758
51,117.841715
52,91.420474
53,97.661367
54,105.119413
55,81.626811
56,101.164325
57,114.356345
58,113.756496
59,100.750166
60,112.249162
61,85.925542
62,94.841389
63,103.089705
64,107.107458
65,106.945149
66,106.953852
67,107.166848
68,111.002007
69,94.114024
70,100.158859
71,108.857685
72,117.517005
73,110.141927
74,100.481731
75,106.478594
76,84.395141
77,109.544926
78,97.769561
79,91.115705
80,108.456394
