parameter,value,CV,se_sa,rse_sa
ka_pop,0.197024827619559,,0.00602885567442733,3.05994718902566
V_pop,11.8006379500508,,0.379918677773902,3.21947575531089
k_pop,0.101772221704193,,0.00626870823674451,6.15954740082702
k12_pop,0.0414980495328778,,0.00174734026000291,4.2106563553512
k21_pop,0.0508937733635286,,0.00156053417992986,3.06625757297093
km_pop,0.0299530547909316,,0.000402078435423912,1.3423620336235
Kpm_pop,0.100868663348792,,0.000870033854486011,0.862541274565653
omega_ka,0.104987637418566,10.5277606895978,0.0155092789719232,14.7724811732743
omega_V,0.102402842942573,10.2671888168191,0.0111285178601613,10.8673915102163
omega_k,0.0750015036152207,7.51071024216687,0.0470666551406904,62.7542820770045
omega_k12,0.0924771062579333,9.26751753797694,0.0243470752594035,26.3276785407792
omega_k21,0.116848381977499,11.7248367466852,0.0471994325323145,40.3937407891567
omega_km,0.101135178529536,10.1394341302019,0.00971721834055965,9.60814869943772
omega_Kpm,0.0215774568613483,2.1579968648911,0.00997132611407921,46.2117763838094
a1_Cp,0.0924955862329688,,0.00493763435204375,5.33823780478273
b1_Cp,0.100496018244244,,0.00341934051796439,3.40246367737087
a2_Cm,0.096503562814246,,0.0131436948328171,13.6199063014043
b2_Cm,0.195355032064716,,0.00515149995843307,2.63699373596198
