ka_abscissa,ka_cdf,V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
0.307719,0,0.226991,0,0.0144917,0,All
0.517041,0.00833333,0.336545,0.00833333,0.0151635,0.00833333,All
0.564678,0.0166667,0.346749,0.0166667,0.0165411,0.0166667,All
0.564828,0.025,0.347887,0.025,0.0180273,0.025,All
0.566901,0.0333333,0.358439,0.0333333,0.0181986,0.0333333,All
0.587513,0.0416667,0.358611,0.0416667,0.0193001,0.0416667,All
0.627661,0.05,0.362354,0.05,0.0209727,0.05,All
0.632838,0.0583333,0.371383,0.0583333,0.0216384,0.0583333,All
0.641504,0.0666667,0.38348,0.0666667,0.0216913,0.0666667,All
0.645789,0.075,0.386379,0.075,0.0217162,0.075,All
0.659334,0.0833333,0.389068,0.0833333,0.0223974,0.0833333,All
0.681675,0.0916667,0.390276,0.0916667,0.0288205,0.0916667,All
0.697876,0.1,0.392181,0.1,0.0299645,0.1,All
0.704745,0.108333,0.393341,0.108333,0.0300231,0.108333,All
0.736851,0.116667,0.393612,0.116667,0.0301555,0.116667,All
0.758291,0.125,0.393998,0.125,0.0304265,0.125,All
0.759847,0.133333,0.395618,0.133333,0.0307579,0.133333,All
0.764046,0.141667,0.396821,0.141667,0.0318573,0.141667,All
0.769628,0.15,0.400672,0.15,0.0319773,0.15,All
0.786088,0.158333,0.40233,0.158333,0.0333621,0.158333,All
0.7946,0.166667,0.402508,0.166667,0.0339,0.166667,All
0.822037,0.175,0.405799,0.175,0.0342025,0.175,All
0.848874,0.183333,0.406276,0.183333,0.034221,0.183333,All
0.85578,0.191667,0.407885,0.191667,0.0347161,0.191667,All
0.858299,0.2,0.408669,0.2,0.0348736,0.2,All
0.859339,0.208333,0.409654,0.208333,0.0349927,0.208333,All
0.881851,0.216667,0.413945,0.216667,0.0350371,0.216667,All
0.896421,0.225,0.414382,0.225,0.035091,0.225,All
0.922841,0.233333,0.414629,0.233333,0.0351919,0.233333,All
0.932938,0.241667,0.417082,0.241667,0.0355638,0.241667,All
0.940465,0.25,0.418577,0.25,0.0357073,0.25,All
0.942113,0.258333,0.420515,0.258333,0.0357476,0.258333,All
0.950343,0.266667,0.420886,0.266667,0.0359353,0.266667,All
0.956858,0.275,0.422424,0.275,0.0362398,0.275,All
0.971667,0.283333,0.422499,0.283333,0.0363917,0.283333,All
0.980914,0.291667,0.424707,0.291667,0.0365546,0.291667,All
0.98474,0.3,0.425493,0.3,0.0366399,0.3,All
1.01807,0.308333,0.428,0.308333,0.0371125,0.308333,All
1.05463,0.316667,0.430841,0.316667,0.0371741,0.316667,All
