ka_abscissa,ka_pdf,V_abscissa,V_pdf,Cl_abscissa,Cl_pdf,split
0.893324,0.591915,0.347061,1.29677,0.0177381,8.82764,All
1.64589,0.483196,0.368092,1.72903,0.0228872,8.82764,All
2.39845,0.132879,0.389123,4.32257,0.0280363,8.82764,All
3.15102,0.0724794,0.410155,6.05159,0.0331854,28.2485,All
3.90358,0.0362397,0.431186,6.05159,0.0383345,44.1382,All
4.65615,0.0120799,0.452217,8.21288,0.0434836,60.028,All
5.40871,0.0483196,0.473248,5.18708,0.0486327,24.7174,All
6.16128,0.0241598,0.49428,7.34836,0.0537818,14.1242,All
6.91384,0.0241598,0.515311,4.32257,0.058931,8.82764,All
7.66641,0.0120799,0.536342,3.89031,0.0640801,3.53106,All
8.41897,0.0120799,0.557373,3.45805,0.0692292,1.76553,All
