pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.4302,0.175035,-3.83139,0.0100273,-1.67526,0.109256,All
-1.0147,0.415708,-3.57495,0.0133697,-1.25922,0.196661,All
-0.599199,0.459467,-3.31851,0.0133697,-0.843188,0.437026,All
-0.183698,0.459467,-3.06206,0.0133697,-0.427152,0.437026,All
0.231804,0.328191,-2.80562,0.023397,-0.0111168,0.458877,All
0.647305,0.437587,-2.54918,0.0133697,0.404919,0.327769,All
1.06281,0.109397,-2.29273,0.023397,0.820954,0.34962,All
1.47831,0.0218794,-2.03629,0.0401091,1.23699,0.0874051,All
1.89381,0.0437587,-1.77985,0.0568212,1.65303,0.0218513,All
2.30931,0.0656381,-1.5234,0.0501364,2.06906,0.0874051,All
2.72481,0.109397,-1.26696,0.130355,2.4851,0.109256,All
,,-1.01052,0.167121,,,All
,,-0.754072,0.340927,,,All
,,-0.497628,0.414461,,,All
,,-0.241185,0.534788,,,All
,,0.0152589,0.558185,,,All
,,0.271702,0.477967,,,All
,,0.528146,0.387721,,,All
,,0.784589,0.267394,,,All
,,1.04103,0.167121,,,All
,,1.29748,0.086903,,,All
,,1.55392,0.0467939,,,All
,,1.81036,0.0401091,,,All
,,2.06681,0.0100273,,,All
,,2.32325,0.0434515,,,All
,,2.57969,0.0200545,,,All
,,2.83614,0.0300818,,,All
,,3.09258,0.0167121,,,All
,,3.34902,0.00668485,,,All
,,3.60547,0.00334242,,,All
,,3.86191,0,,,All
,,4.11835,0,,,All
,,4.3748,0,,,All
,,4.63124,0,,,All
,,4.88769,0.00334242,,,All
