standEta_ka_abscissa,standEta_ka_pdf,standEta_V_abscissa,standEta_V_pdf,standEta_Cl_abscissa,standEta_Cl_pdf,split
-1.42733,0.2368,-2.20848,0.0724099,-3.33897,0.0348058,All
-1.04342,0.3552,-1.83184,0.0724099,-2.8166,0.0522088,All
-0.659516,0.40256,-1.45519,0.0724099,-2.29422,0.0870146,All
-0.275609,0.40256,-1.07855,0.313776,-1.77184,0,All
0.108297,0.52096,-0.701905,0.337913,-1.24946,0.0870146,All
0.492204,0.30784,-0.325262,0.36205,-0.727083,0.226238,All
0.87611,0.28416,0.0513817,0.386186,-0.204704,0.452476,All
1.26002,0.07104,0.428025,0.337913,0.317674,0.661311,All
1.64392,0.04736,0.804668,0.386186,0.840053,0.330656,All
2.02783,0.16576,1.18131,0.337913,1.36243,0.12182,All
2.41174,0.04736,1.55796,0.21723,1.88481,0.0348058,All
