rep,ID,standEta_ka_simulated,standEta_V_simulated,standEta_Cl_simulated,WEIGHT,SEX,filter
0,1,0.0343934,-0.982968,-2.9609,79.6,M,0
1,1,0.271363,-1.89392,-2.40171,79.6,M,0
2,1,0.235146,-2.16027,-2.15885,79.6,M,0
3,1,0.174459,-1.1619,-2.92597,79.6,M,0
4,1,0.406429,-1.24841,-2.70881,79.6,M,0
5,1,0.51917,-1.01568,-2.27298,79.6,M,0
6,1,0.379151,-1.18528,-2.27722,79.6,M,0
7,1,0.257555,-0.905685,-3.60016,79.6,M,0
8,1,0.468931,-0.306035,-3.27884,79.6,M,0
9,1,0.366173,-0.979463,-2.28624,79.6,M,0
0,2,0.245382,-0.37386,0.243155,72.4,M,0
1,2,-0.0462086,-0.914986,0.591317,72.4,M,0
2,2,0.553719,-0.0600728,-0.340109,72.4,M,0
3,2,0.248582,-0.00180825,0.565996,72.4,M,0
4,2,0.0822462,-0.749233,0.216962,72.4,M,0
5,2,0.369757,-0.15922,0.263853,72.4,M,0
6,2,0.403538,-0.744516,0.277227,72.4,M,0
7,2,0.348869,-0.337521,0.416987,72.4,M,0
8,2,0.406789,-0.109554,-0.0657169,72.4,M,0
9,2,0.0911052,-0.0915381,0.187641,72.4,M,0
0,3,1.04944,0.807768,0.0525296,70.5,M,0
1,3,0.848,0.209353,0.0845304,70.5,M,0
2,3,0.970366,0.112085,0.342153,70.5,M,0
3,3,1.0511,1.11498,0.0632187,70.5,M,0
4,3,0.60473,-0.144575,-0.34872,70.5,M,0
5,3,0.458387,-0.00652964,0.208809,70.5,M,0
6,3,1.35035,1.23888,0.15773,70.5,M,0
7,3,0.216759,-0.401588,-0.0195263,70.5,M,0
8,3,0.768836,0.790275,-0.19726,70.5,M,0
9,3,0.40958,1.14166,0.192739,70.5,M,0
0,4,-0.451971,-0.147483,-0.215197,72.7,M,0
1,4,-0.191154,0.308563,-1.05982,72.7,M,0
2,4,-0.443821,-0.396722,-0.627306,72.7,M,0
3,4,-0.174342,-0.595625,-0.129931,72.7,M,0
4,4,-0.484799,-0.310496,-0.510083,72.7,M,0
5,4,-0.679134,-0.554345,-0.108131,72.7,M,0
6,4,-0.236179,0.190553,-0.594477,72.7,M,0
7,4,-0.755963,-1.36295,-0.380682,72.7,M,0
8,4,-0.323074,0.466299,-0.986734,72.7,M,0
9,4,-0.0974582,0.131925,-0.0732249,72.7,M,0
0,5,-0.22999,0.678218,0.203681,54.6,F,0
1,5,-0.0374538,0.515078,0.642918,54.6,F,0
2,5,0.0314139,0.666839,0.234704,54.6,F,0
3,5,-0.04398,0.809142,-0.286623,54.6,F,0
4,5,-0.510182,0.875076,0.431518,54.6,F,0
5,5,-0.0573202,0.815593,0.48456,54.6,F,0
6,5,-0.609611,-0.874387,0.289008,54.6,F,0
7,5,-0.204741,0.05911,0.0786246,54.6,F,0
8,5,0.103245,0.494689,-0.499712,54.6,F,0
9,5,-0.390152,-0.164968,0.392904,54.6,F,0
0,6,-0.256991,0.785044,0.821289,80,M,0
1,6,-0.475055,1.46006,0.246797,80,M,0
2,6,-0.557042,0.0131883,0.839854,80,M,0
3,6,-0.164955,1.14261,0.464083,80,M,0
4,6,-0.659219,0.410756,0.898118,80,M,0
5,6,0.038912,1.45263,0.439798,80,M,0
6,6,-0.739747,1.19882,0.342588,80,M,0
7,6,-0.550809,0.857278,0.305342,80,M,0
8,6,-0.880463,-1.15644,1.50084,80,M,0
9,6,-0.665021,0.252505,0.885273,80,M,0
0,7,-1.61928,0.0267757,1.01055,64.6,F,0
1,7,-0.799248,1.66203,0.757495,64.6,F,0
2,7,-1.04557,1.30107,0.169422,64.6,F,0
3,7,-0.823668,1.66784,0.346305,64.6,F,0
4,7,-1.31813,0.684557,1.42986,64.6,F,0
5,7,-1.48795,-0.131314,1.26683,64.6,F,0
6,7,-1.42887,0.598663,1.54067,64.6,F,0
7,7,-1.33037,0.673046,0.693792,64.6,F,0
8,7,-1.15775,0.779886,0.85994,64.6,F,0
9,7,-1.48209,0.00248374,0.951782,64.6,F,0
0,8,-0.0145469,1.07138,0.397045,70.5,M,0
1,8,0.127882,0.710522,0.600983,70.5,M,0
2,8,-0.208397,1.19718,-0.140779,70.5,M,0
3,8,-0.124434,1.12965,0.74148,70.5,M,0
4,8,-0.414295,0.0251069,0.883156,70.5,M,0
5,8,0.100961,1.15208,-0.0815401,70.5,M,0
6,8,-0.288953,0.775371,0.310598,70.5,M,0
7,8,0.0413489,1.11248,0.527478,70.5,M,0
8,8,-0.36016,0.464421,0.112774,70.5,M,0
9,8,-0.0358607,0.31303,0.470828,70.5,M,0
0,9,1.85237,-2.3968,-0.365222,86.4,M,0
1,9,1.8888,-0.840111,-0.539403,86.4,M,0
2,9,2.46099,-1.30332,-0.435377,86.4,M,0
3,9,2.21531,-0.539701,-1.02676,86.4,M,0
4,9,2.00223,-2.13432,-0.5054,86.4,M,0
5,9,1.9178,-1.89771,-0.522676,86.4,M,0
6,9,2.13989,-1.81167,0.181779,86.4,M,0
7,9,2.60369,-0.669472,-0.843067,86.4,M,0
8,9,2.20285,-0.202366,-1.0833,86.4,M,0
9,9,1.78725,-0.859179,-0.592479,86.4,M,0
0,10,-1.48755,-1.1162,-0.686414,58.2,F,0
1,10,-0.864009,0.516979,-0.856953,58.2,F,0
2,10,-1.17235,0.348361,-1.22714,58.2,F,0
3,10,-0.978922,0.519342,-1.07608,58.2,F,0
4,10,-1.29786,-1.09214,-0.41186,58.2,F,0
5,10,-0.994973,0.386757,-0.43121,58.2,F,0
6,10,-1.02651,0.408985,-0.489102,58.2,F,0
7,10,-1.20735,-0.75759,-0.282127,58.2,F,0
8,10,-1.03735,-0.356573,-0.205217,58.2,F,0
9,10,-1.28794,-0.625922,-0.45026,58.2,F,0
0,11,0.750163,1.74628,1.84657,65,F,0
1,11,1.38268,1.27545,0.888652,65,F,0
2,11,1.04994,1.52159,1.0932,65,F,0
3,11,1.66298,1.59317,1.07035,65,F,0
4,11,0.850078,0.828217,0.966673,65,F,0
5,11,0.731673,1.59483,1.11808,65,F,0
6,11,0.771689,1.0182,1.60357,65,F,0
7,11,1.06698,1.41367,1.0469,65,F,0
8,11,0.887261,1.05613,1.44244,65,F,0
9,11,1.32358,0.725709,2.146,65,F,0
0,12,-0.86839,-0.597033,0.0585769,60.5,F,0
1,12,-0.928336,-0.632902,-0.234912,60.5,F,0
2,12,-0.727773,-0.697815,0.0486251,60.5,F,0
3,12,-1.09136,-1.14868,0.0343156,60.5,F,0
4,12,-0.862205,-0.114721,-0.292755,60.5,F,0
5,12,-1.257,-1.22385,0.104751,60.5,F,0
6,12,-0.702022,-0.144091,0.497391,60.5,F,0
7,12,-0.725163,-0.440801,-0.0871199,60.5,F,0
8,12,-0.712202,-0.493197,0.400336,60.5,F,0
9,12,-1.04862,-1.61678,0.245597,60.5,F,0
