ID,time,pop,popPred,indivPredMean,indivPredMode
1,2.22045e-16,3.91926e-15,3.91926e-15,4.72097e-15,4.72813e-15
1,3.03923e-16,3.91926e-15,3.91926e-15,7.08146e-15,7.09219e-15
1,4.15994e-16,5.87889e-15,5.87889e-15,7.08146e-15,7.09219e-15
1,5.6939e-16,7.83853e-15,7.83853e-15,1.18024e-14,1.18203e-14
1,7.79352e-16,9.79816e-15,9.79816e-15,1.41629e-14,1.41844e-14
1,1.06674e-15,1.37174e-14,1.37174e-14,1.88839e-14,1.89125e-14
1,1.46009e-15,1.95963e-14,1.95963e-14,2.59654e-14,2.60047e-14
1,1.9985e-15,2.74348e-14,2.74348e-14,3.54073e-14,3.54609e-14
1,2.73544e-15,3.7233e-14,3.7233e-14,4.95702e-14,4.96453e-14
1,3.74412e-15,5.09504e-14,5.09504e-14,6.84541e-14,6.85578e-14
1,5.12476e-15,7.05467e-14,7.05467e-14,9.2059e-14,9.21985e-14
1,7.0145e-15,9.40623e-14,9.40623e-14,1.29827e-13,1.27659e-13
1,9.60108e-15,1.31295e-13,1.31295e-13,1.74676e-13,1.74941e-13
1,1.31415e-14,1.78326e-13,1.78326e-13,2.4077e-13,2.3877e-13
1,1.79873e-14,2.44954e-13,2.44954e-13,3.30468e-13,3.28605e-13
1,2.46201e-14,3.31178e-13,3.31178e-13,4.55574e-13,4.51536e-13
1,3.36987e-14,4.56594e-13,4.56594e-13,6.20808e-13,6.1702e-13
1,4.6125e-14,6.23163e-13,6.23163e-13,8.49775e-13,8.43971e-13
1,6.31335e-14,8.54399e-13,8.54399e-13,1.16136e-12,1.15366e-12
1,8.64138e-14,1.16794e-12,1.16794e-12,1.59097e-12,1.58156e-12
1,1.18279e-13,1.59906e-12,1.59906e-12,2.17873e-12,2.16548e-12
1,1.61894e-13,2.19087e-12,2.19087e-12,2.98365e-12,2.96454e-12
1,2.21592e-13,2.99824e-12,2.99824e-12,4.08364e-12,4.05673e-12
1,3.03303e-13,4.10151e-12,4.10151e-12,5.58963e-12,5.55318e-12
1,4.15145e-13,5.61434e-12,5.61434e-12,7.6527e-12,7.5981e-12
1,5.68229e-13,7.68567e-12,7.68567e-12,1.04735e-11,1.04042e-11
1,7.77762e-13,1.05193e-11,1.05193e-11,1.43352e-11,1.42388e-11
1,1.06456e-12,1.43994e-11,1.43994e-11,1.96227e-11,1.94893e-11
1,1.45711e-12,1.971e-11,1.971e-11,2.686e-11,2.66761e-11
1,1.99442e-12,2.69782e-11,2.69782e-11,3.67622e-11,3.65153e-11
1,2.72986e-12,3.69234e-11,3.69234e-11,5.03208e-11,4.99763e-11
1,3.73648e-12,5.05409e-11,5.05409e-11,6.88766e-11,6.84065e-11
1,5.1143e-12,6.9175e-11,6.9175e-11,9.42755e-11,9.36287e-11
1,7.00019e-12,9.46855e-11,9.46855e-11,1.29036e-10,1.28156e-10
1,9.58149e-12,1.29602e-10,1.29602e-10,1.76616e-10,1.75411e-10
1,1.31146e-11,1.7739e-10,1.7739e-10,2.41744e-10,2.40094e-10
1,1.79506e-11,2.42804e-10,2.42804e-10,3.30886e-10,3.28628e-10
1,2.45699e-11,3.32336e-10,3.32336e-10,4.52899e-10,4.4981e-10
1,3.363e-11,4.54885e-10,4.54885e-10,6.19906e-10,6.15675e-10
1,4.60309e-11,6.22624e-10,6.22624e-10,8.48496e-10,8.42703e-10
1,6.30047e-11,8.52216e-10,8.52216e-10,1.16138e-9,1.15345e-9
1,8.62376e-11,1.16646e-9,1.16646e-9,1.58963e-9,1.57878e-9
1,1.18037e-10,1.5966e-9,1.5966e-9,2.1758e-9,2.16095e-9
1,1.61563e-10,2.18534e-9,2.18534e-9,2.97812e-9,2.9578e-9
1,2.2114e-10,2.99118e-9,2.99118e-9,4.0763e-9,4.04847e-9
1,3.02684e-10,4.09416e-9,4.09416e-9,5.57942e-9,5.54134e-9
1,4.14298e-10,5.60388e-9,5.60388e-9,7.63682e-9,7.58469e-9
1,5.6707e-10,7.67029e-9,7.67029e-9,1.04529e-8,1.03815e-8
1,7.76175e-10,1.04987e-8,1.04987e-8,1.43074e-8,1.42097e-8
1,1.06239e-09,1.43701e-8,1.43701e-8,1.95832e-8,1.94495e-8
1,1.45414e-09,1.9669e-8,1.9669e-8,2.68044e-8,2.66214e-8
1,1.99035e-09,2.69219e-8,2.69219e-8,3.66885e-8,3.6438e-8
1,2.72429e-09,3.68492e-8,3.68492e-8,5.02172e-8,4.98744e-8
1,3.72886e-09,5.04373e-8,5.04373e-8,6.87347e-8,6.82655e-8
1,5.10387e-09,6.90359e-8,6.90359e-8,9.40804e-8,9.34382e-8
1,6.98591e-09,9.44928e-8,9.44928e-8,1.28772e-7,1.27893e-7
1,9.56195e-09,1.29337e-7,1.29337e-7,1.76257e-7,1.75054e-7
1,1.30879e-08,1.77029e-7,1.77029e-7,2.41251e-7,2.39604e-7
1,1.7914e-08,2.42308e-7,2.42308e-7,3.30212e-7,3.27958e-7
1,2.45198e-08,3.31659e-7,3.31659e-7,4.51977e-7,4.48891e-7
1,3.35614e-08,4.53957e-7,4.53957e-7,6.18642e-7,6.14419e-7
1,4.5937e-08,6.21353e-7,6.21353e-7,8.46764e-7,8.40984e-7
1,6.28762e-08,8.50475e-7,8.50475e-7,1.15901e-6,1.1511e-6
1,8.60616e-08,1.16409e-6,1.16409e-6,1.58639e-6,1.57556e-6
1,1.17797e-07,1.59334e-6,1.59334e-6,2.17136e-6,2.15654e-6
