trans_Cl_vs_WEIGHT_abscissa,trans_Cl_vs_WEIGHT_spline,trans_Cl_vs_WEIGHT_regression,trans_V_vs_WEIGHT_abscissa,trans_V_vs_WEIGHT_spline,trans_V_vs_WEIGHT_regression,trans_ka_vs_WEIGHT_abscissa,trans_ka_vs_WEIGHT_spline,trans_ka_vs_WEIGHT_regression,split
54.6,-3.12632,-3.07397,54.6,-0.729581,-0.717815,54.6,0.110756,-0.167443,All
54.9212,-3.13928,-3.07723,54.9212,-0.733915,-0.719195,54.9212,0.0829102,-0.154646,All
55.2424,-3.15223,-3.08048,55.2424,-0.738248,-0.720575,55.2424,0.0550648,-0.141849,All
55.5636,-3.16518,-3.08373,55.5636,-0.742582,-0.721955,55.5636,0.0272194,-0.129051,All
55.8848,-3.17814,-3.08699,55.8848,-0.746916,-0.723335,55.8848,-0.000625974,-0.116254,All
56.2061,-3.19109,-3.09024,56.2061,-0.751249,-0.724715,56.2061,-0.0284714,-0.103457,All
56.5273,-3.20405,-3.09349,56.5273,-0.755583,-0.726095,56.5273,-0.0563167,-0.0906598,All
56.8485,-3.217,-3.09675,56.8485,-0.759917,-0.727475,56.8485,-0.0841621,-0.0778625,All
57.1697,-3.22996,-3.1,57.1697,-0.764251,-0.728855,57.1697,-0.112007,-0.0650653,All
57.4909,-3.24291,-3.10326,57.4909,-0.768584,-0.730235,57.4909,-0.139853,-0.0522681,All
57.8121,-3.25587,-3.10651,57.8121,-0.772918,-0.731615,57.8121,-0.167698,-0.0394708,All
58.1333,-3.26882,-3.10976,58.1333,-0.777252,-0.732995,58.1333,-0.195544,-0.0266736,All
58.4545,-3.26054,-3.11302,58.4545,-0.783264,-0.734375,58.4545,-0.191358,-0.0138763,All
58.7758,-3.2467,-3.11627,58.7758,-0.789715,-0.735755,58.7758,-0.178784,-0.00107911,All
59.097,-3.23287,-3.11952,59.097,-0.796167,-0.737135,59.097,-0.16621,0.0117181,All
59.4182,-3.21903,-3.12278,59.4182,-0.802619,-0.738515,59.4182,-0.153635,0.0245154,All
