iteration,convergenceIndicator,phase,Cl_pop,V_pop,a,b,ka_pop,omega_Cl,omega_V,omega_ka
1,554.616,1,0.1,0.5,1,0.3,1,1,1,1
2,535.754,1,0.0467898,0.458021,0.95,0.285,1.27506,0.974679,0.974679,0.974679
3,538.492,1,0.0456201,0.446091,0.9025,0.27075,1.20749,0.95,0.95,0.95
4,532.321,1,0.0432334,0.425624,0.857375,0.257212,1.17432,0.925945,0.925945,0.925945
5,511.197,1,0.0421185,0.465785,0.814506,0.244352,1.41305,0.9025,0.9025,0.9025
6,508.28,1,0.0403241,0.464234,0.773781,0.232134,1.50482,0.879648,0.879648,0.879648
7,490.411,1,0.0397632,0.460895,0.735092,0.220528,1.45317,0.857375,0.857375,0.857375
8,471.359,1,0.0403645,0.460305,0.698337,0.209501,1.42006,0.835666,0.835666,0.835666
9,459.187,1,0.0392419,0.497529,0.66342,0.199026,1.6354,0.814506,0.814506,0.814506
10,445.597,1,0.0391541,0.498251,0.630249,0.189075,1.70433,0.793882,0.793882,0.793882
11,426.351,1,0.0400991,0.496097,0.598737,0.179621,1.58429,0.773781,0.773781,0.773781
12,425.982,1,0.037821,0.493706,0.5688,0.17064,1.62871,0.754188,0.754188,0.754188
13,422.738,1,0.0395144,0.494088,0.54036,0.162108,1.79198,0.735092,0.735092,0.735092
14,407.484,1,0.0392182,0.483078,0.513342,0.154003,1.76523,0.716479,0.716479,0.716479
15,393.407,1,0.0393979,0.480813,0.487675,0.146302,1.65437,0.698337,0.698337,0.698337
16,384.867,1,0.0383629,0.484609,0.463291,0.138987,1.6595,0.680655,0.680655,0.680655
17,375.021,1,0.040211,0.478161,0.440127,0.132038,1.56992,0.66342,0.66342,0.66342
18,362.052,1,0.0398672,0.47919,0.41812,0.125436,1.60361,0.646622,0.646622,0.646622
19,358.743,1,0.0381521,0.47344,0.397214,0.119164,1.57846,0.630249,0.630249,0.64054
20,355.525,1,0.0385944,0.47501,0.377354,0.113206,1.5952,0.614291,0.614291,0.630394
21,348.757,1,0.0391936,0.476691,0.358486,0.107546,1.55063,0.598737,0.598737,0.614432
22,337.161,1,0.0395854,0.46456,0.340562,0.102168,1.51207,0.583577,0.583577,0.625567
23,319.874,1,0.0388475,0.472749,0.323534,0.0970601,1.54325,0.5688,0.5688,0.61543
24,321.225,1,0.0387152,0.471997,0.307357,0.0922071,1.56409,0.554398,0.554398,0.599847
25,316.02,1,0.0396474,0.469358,0.321219,0.0851181,1.61125,0.54036,0.54036,0.645217
26,307.083,1,0.0391583,0.466006,0.361668,0.0716683,1.5853,0.526678,0.526678,0.62888
27,301.975,1,0.0397094,0.466995,0.389308,0.0622898,1.66454,0.513342,0.513342,0.697918
28,305.016,1,0.0397013,0.465458,0.437,0.0549224,1.66438,0.500344,0.500344,0.688372
29,301.003,1,0.039308,0.46847,0.424397,0.056739,1.60516,0.487675,0.487675,0.670942
30,298.809,1,0.0394085,0.465233,0.432494,0.0550331,1.57565,0.475327,0.475327,0.653953
31,299.786,1,0.0398192,0.46987,0.367265,0.06973,1.54944,0.463291,0.463291,0.647473
32,298.24,1,0.0397518,0.46698,0.376902,0.0675144,1.54737,0.45156,0.45156,0.631079
33,297.149,1,0.0399262,0.465663,0.380285,0.0665707,1.55643,0.440127,0.440127,0.630195
34,293.626,1,0.0400404,0.465664,0.361043,0.0699072,1.56352,0.428982,0.428982,0.621195
35,291.522,1,0.0393728,0.470924,0.357831,0.0690047,1.5544,0.41812,0.41812,0.623405
36,291.228,1,0.0404649,0.467334,0.381286,0.0653544,1.53787,0.407533,0.407533,0.611124
37,294.34,1,0.0400981,0.458585,0.419472,0.0588029,1.54251,0.397214,0.397214,0.623392
38,292.328,1,0.0400903,0.453945,0.386964,0.0639745,1.52751,0.387157,0.387157,0.65498
39,293.166,1,0.04006,0.464905,0.398944,0.0638811,1.53994,0.377354,0.377354,0.638396
40,292.696,1,0.0408292,0.461396,0.419132,0.0603314,1.5042,0.367799,0.367799,0.622231
