Cl_vs_V_abscissa,Cl_vs_V_spline,Cl_vs_V_regression,Cl_vs_ka_abscissa,Cl_vs_ka_spline,Cl_vs_ka_regression,V_vs_Cl_abscissa,V_vs_Cl_spline,V_vs_Cl_regression,V_vs_ka_abscissa,V_vs_ka_spline,V_vs_ka_regression,ka_vs_Cl_abscissa,ka_vs_Cl_spline,ka_vs_Cl_regression,ka_vs_V_abscissa,ka_vs_V_spline,ka_vs_V_regression
-0.302671,-0.314932,-0.380917,-1.08663,0.178277,0.0485479,-0.974288,-0.100952,-0.210603,-1.08663,0.0131695,0.0229824,-0.974288,0.246053,0.282806,-0.302671,0.780185,0.154581
-0.297387,-0.307196,-0.374548,-1.058,0.166397,0.0469786,-0.958581,-0.11115,-0.2071,-1.058,0.00652971,0.0224878,-0.958581,0.240077,0.278235,-0.297387,0.75144,0.151962
-0.292102,-0.299459,-0.36818,-1.02938,0.154517,0.0454092,-0.942873,-0.121348,-0.203597,-1.02938,-0.00011003,0.0219933,-0.942873,0.2341,0.273664,-0.292102,0.722694,0.149342
-0.286817,-0.291722,-0.361812,-1.00075,0.142637,0.0438398,-0.927166,-0.131546,-0.200095,-1.00075,-0.00674977,0.0214987,-0.927166,0.228123,0.269092,-0.286817,0.693949,0.146723
-0.281532,-0.283985,-0.355443,-0.972128,0.125583,0.0422705,-0.911458,-0.141745,-0.196592,-0.972128,-0.00951771,0.0210042,-0.911458,0.222146,0.264521,-0.281532,0.665204,0.144104
-0.276248,-0.276248,-0.349075,-0.943503,0.106937,0.0407011,-0.895751,-0.151943,-0.193089,-0.943503,-0.0105238,0.0205096,-0.895751,0.216169,0.259949,-0.276248,0.636459,0.141484
-0.270963,-0.269534,-0.342706,-0.914879,0.087463,0.0391317,-0.880043,-0.159043,-0.189587,-0.914879,-0.0104389,0.020015,-0.880043,0.211578,0.255378,-0.270963,0.606903,0.138865
-0.265678,-0.266286,-0.336338,-0.886254,0.0679447,0.0375624,-0.864336,-0.162565,-0.186084,-0.886254,-0.0100603,0.0195205,-0.864336,0.208588,0.250806,-0.265678,0.575221,0.136246
-0.260393,-0.263617,-0.32997,-0.857629,0.0487132,0.035993,-0.848628,-0.166087,-0.182582,-0.857629,-0.00825167,0.0190259,-0.848628,0.205598,0.246235,-0.260393,0.543311,0.133627
-0.255108,-0.260948,-0.323601,-0.829005,0.0307753,0.0344236,-0.832921,-0.169609,-0.179079,-0.829005,-0.00593991,0.0185314,-0.832921,0.202607,0.241664,-0.255108,0.511401,0.131007
-0.249824,-0.25828,-0.317233,-0.80038,0.0142918,0.0328543,-0.817213,-0.173131,-0.175576,-0.80038,-0.00342397,0.0180368,-0.817213,0.199617,0.237092,-0.249824,0.479491,0.128388
-0.244539,-0.255611,-0.310864,-0.771755,0.000584335,0.0312849,-0.801506,-0.176653,-0.172074,-0.771755,-0.000905302,0.0175423,-0.801506,0.196626,0.232521,-0.244539,0.447581,0.125769
-0.239254,-0.253058,-0.304496,-0.743131,-0.00983058,0.0297155,-0.785798,-0.176482,-0.168571,-0.743131,0.00135287,0.0170477,-0.785798,0.195233,0.227949,-0.239254,0.415669,0.12315
-0.233969,-0.252326,-0.298127,-0.714506,-0.0171139,0.0281462,-0.77009,-0.175166,-0.165068,-0.714506,0.00316944,0.0165531,-0.77009,0.19432,0.223378,-0.233969,0.38402,0.12053
