ka_abscissa,ka_pdf,ka_cdf,V_abscissa,V_pdf,V_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,split
0.307719,0.110392,0.00836486,0.226991,3.45131e-06,1.73978e-08,0.0144917,0.0841496,8.24104e-05,All
0.393452,0.193925,0.0213645,0.233931,1.21284e-05,6.56831e-08,0.0154702,0.190138,0.000210809,All
0.479185,0.276567,0.0415842,0.240871,3.89078e-05,2.26267e-07,0.0164487,0.387554,0.000484208,All
0.564917,0.348188,0.0684657,0.247811,0.000114708,7.16066e-07,0.0174272,0.723289,0.00101427,All
0.65065,0.404416,0.100843,0.254751,0.000312686,2.09471e-06,0.0184056,1.25106,0.00196228,All
0.736383,0.444592,0.137348,0.261691,0.000792448,5.69594e-06,0.0193841,2.02567,0.00354313,All
0.822115,0.470043,0.176654,0.268631,0.00187652,1.44707e-05,0.0203626,3.09598,0.00602304,All
0.907848,0.482948,0.217586,0.275571,0.00417094,3.45077e-05,0.0213411,4.49775,0.00971018,All
0.993581,0.485689,0.259172,0.282512,0.00873824,7.75701e-05,0.0223196,6.24774,0.0149388,All
1.07931,0.480515,0.300639,0.289452,0.0173213,0.000165014,0.0232981,8.33996,0.0220487,All
1.16505,0.469402,0.341394,0.296392,0.0326001,0.000333391,0.0242765,10.7446,0.031362,All
1.25078,0.454,0.381003,0.303332,0.058444,0.000641845,0.025255,13.4098,0.0431607,All
1.33651,0.43565,0.419156,0.310272,0.100099,0.00118107,0.0262335,16.265,0.0576666,All
1.42224,0.415416,0.455648,0.317212,0.164236,0.00208315,0.027212,19.2271,0.0750257,All
1.50798,0.394122,0.490355,0.324152,0.258796,0.00353102,0.0281905,22.206,0.0952989,All
1.59371,0.372398,0.523214,0.331092,0.392562,0.00576598,0.029169,25.1112,0.118458,All
1.67944,0.350714,0.554209,0.338033,0.574462,0.00909128,0.0301474,27.8571,0.144389,All
1.76518,0.329414,0.58336,0.344973,0.812624,0.0138699,0.0311259,30.3679,0.172897,All
1.85091,0.308745,0.610711,0.351913,1.11328,0.0205155,0.0321044,32.5808,0.20372,All
1.93664,0.288874,0.636322,0.358853,1.47964,0.0294748,0.0330829,34.4479,0.236543,All
2.02237,0.269909,0.660269,0.365793,1.91097,0.0412039,0.0340614,35.9373,0.27101,All
2.10811,0.251914,0.68263,0.372733,2.40187,0.0561377,0.0350398,37.0324,0.306742,All
2.19384,0.234919,0.703492,0.379673,2.9421,0.0746569,0.0360183,37.7308,0.343352,All
2.27957,0.218928,0.722939,0.386613,3.51683,0.0970548,0.0369968,38.043,0.380454,All
2.3653,0.203927,0.741058,0.393553,4.10741,0.123508,0.0379753,37.9896,0.417681,All
2.45104,0.189889,0.757933,0.400494,4.69255,0.154054,0.0389538,37.5995,0.454688,All
2.53677,0.176779,0.773644,0.407434,5.24987,0.188577,0.0399323,36.9075,0.491163,All
2.6225,0.164555,0.78827,0.414374,5.75743,0.226808,0.0409107,35.9521,0.526829,All
2.70823,0.153172,0.801884,0.421314,6.19535,0.268331,0.0418892,34.7736,0.561448,All
2.79397,0.142582,0.814556,0.428254,6.54716,0.312602,0.0428677,33.4126,0.59482,All
2.8797,0.132738,0.826353,0.435194,6.80078,0.358979,0.0438462,31.9086,0.626788,All
2.96543,0.123593,0.837336,0.442134,6.94915,0.406754,0.0448247,30.2988,0.65723,All
3.05117,0.115102,0.847564,0.449074,6.99038,0.455187,0.0458032,28.6175,0.686059,All
3.1369,0.10722,0.85709,0.456014,6.92747,0.503541,0.0467816,26.8958,0.71322,All
3.22263,0.0999058,0.865964,0.462955,6.7678,0.551117,0.0477601,25.161,0.738689,All
3.30836,0.0931186,0.874235,0.469895,6.52222,0.597281,0.0487386,23.4366,0.762463,All
