pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4,0,-4,0,All
-1.63795,0.00833333,-3.95962,0.000833333,-1.88328,0.00833333,All
-1.58731,0.0166667,-3.91681,0.00166667,-1.67148,0.0166667,All
-1.40818,0.025,-3.83319,0.0025,-1.62804,0.025,All
-1.4026,0.0333333,-3.57421,0.00333333,-1.58263,0.0333333,All
-1.30582,0.0416667,-3.56015,0.00416667,-1.54756,0.0416667,All
-1.28772,0.05,-3.50576,0.005,-1.30741,0.05,All
-1.26449,0.0583333,-3.50551,0.00583333,-1.2462,0.0583333,All
-1.2292,0.0666667,-3.40507,0.00666667,-1.2322,0.0666667,All
-1.2002,0.075,-3.32173,0.0075,-1.18376,0.075,All
-1.12491,0.0833333,-3.24305,0.00833333,-1.18302,0.0833333,All
-1.12094,0.0916667,-3.2138,0.00916667,-1.17461,0.0916667,All
-1.08477,0.1,-3.15863,0.01,-1.15545,0.1,All
-1.06207,0.108333,-3.13031,0.0108333,-1.14803,0.108333,All
-1.05593,0.116667,-3.09777,0.0116667,-1.13022,0.116667,All
-0.978412,0.125,-3.09647,0.0125,-1.00577,0.125,All
-0.96946,0.133333,-2.92326,0.0133333,-0.9867,0.133333,All
-0.968929,0.141667,-2.88864,0.0141667,-0.967716,0.141667,All
-0.963955,0.15,-2.85409,0.015,-0.948655,0.15,All
-0.951845,0.158333,-2.84443,0.0158333,-0.927533,0.158333,All
-0.925864,0.166667,-2.79805,0.0166667,-0.904755,0.166667,All
-0.923558,0.175,-2.77519,0.0175,-0.888923,0.175,All
-0.908487,0.183333,-2.7621,0.0183333,-0.871522,0.183333,All
-0.897308,0.191667,-2.67445,0.0191667,-0.869654,0.191667,All
-0.875422,0.2,-2.5551,0.02,-0.861898,0.2,All
-0.867342,0.208333,-2.51831,0.0208333,-0.826762,0.208333,All
-0.861862,0.216667,-2.46744,0.0216667,-0.804863,0.216667,All
-0.841819,0.225,-2.40887,0.0225,-0.773166,0.225,All
-0.733721,0.233333,-2.39437,0.0233333,-0.767504,0.233333,All
-0.724411,0.241667,-2.32521,0.0241667,-0.682737,0.241667,All
-0.720339,0.25,-2.30001,0.025,-0.65969,0.25,All
-0.662536,0.258333,-2.28559,0.0258333,-0.654676,0.258333,All
-0.648521,0.266667,-2.27589,0.0266667,-0.651073,0.266667,All
-0.648267,0.275,-2.17785,0.0275,-0.649421,0.275,All
-0.632447,0.283333,-2.1284,0.0283333,-0.64209,0.283333,All
-0.579848,0.291667,-2.12635,0.0291667,-0.538499,0.291667,All
-0.559073,0.3,-2.1121,0.03,-0.52445,0.3,All
-0.526295,0.308333,-2.09441,0.0308333,-0.505803,0.308333,All
-0.512846,0.316667,-2.08493,0.0316667,-0.487103,0.316667,All
