standEta_ka_abscissa,standEta_ka_cdf,standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-4,0,-4,0,-4,0,All
-1.61928,0.00833333,-2.3968,0.00833333,-3.60016,0.00833333,All
-1.48795,0.0166667,-2.16027,0.0166667,-3.27884,0.0166667,All
-1.48755,0.025,-2.13432,0.025,-2.9609,0.025,All
-1.48209,0.0333333,-1.89771,0.0333333,-2.92597,0.0333333,All
-1.42887,0.0416667,-1.89392,0.0416667,-2.70881,0.0416667,All
-1.33037,0.05,-1.81167,0.05,-2.40171,0.05,All
-1.31813,0.0583333,-1.61678,0.0583333,-2.28624,0.0583333,All
-1.29786,0.0666667,-1.36295,0.0666667,-2.27722,0.0666667,All
-1.28794,0.075,-1.30332,0.075,-2.27298,0.075,All
-1.257,0.0833333,-1.24841,0.0833333,-2.15885,0.0833333,All
-1.20735,0.0916667,-1.22385,0.0916667,-1.22714,0.0916667,All
-1.17235,0.1,-1.18528,0.1,-1.0833,0.1,All
-1.15775,0.108333,-1.1619,0.108333,-1.07608,0.108333,All
-1.09136,0.116667,-1.15644,0.116667,-1.05982,0.116667,All
-1.04862,0.125,-1.14868,0.125,-1.02676,0.125,All
-1.04557,0.133333,-1.1162,0.133333,-0.986734,0.133333,All
-1.03735,0.141667,-1.09214,0.141667,-0.856953,0.141667,All
-1.02651,0.15,-1.01568,0.15,-0.843067,0.15,All
-0.994973,0.158333,-0.982968,0.158333,-0.686414,0.158333,All
-0.978922,0.166667,-0.979463,0.166667,-0.627306,0.166667,All
-0.928336,0.175,-0.914986,0.175,-0.594477,0.175,All
-0.880463,0.183333,-0.905685,0.183333,-0.592479,0.183333,All
-0.86839,0.191667,-0.874387,0.191667,-0.539403,0.191667,All
-0.864009,0.2,-0.859179,0.2,-0.522676,0.2,All
-0.862205,0.208333,-0.840111,0.208333,-0.510083,0.208333,All
-0.823668,0.216667,-0.75759,0.216667,-0.5054,0.216667,All
-0.799248,0.225,-0.749233,0.225,-0.499712,0.225,All
-0.755963,0.233333,-0.744516,0.233333,-0.489102,0.233333,All
-0.739747,0.241667,-0.697815,0.241667,-0.45026,0.241667,All
-0.727773,0.25,-0.669472,0.25,-0.435377,0.25,All
-0.725163,0.258333,-0.632902,0.258333,-0.43121,0.258333,All
-0.712202,0.266667,-0.625922,0.266667,-0.41186,0.266667,All
-0.702022,0.275,-0.597033,0.275,-0.380682,0.275,All
-0.679134,0.283333,-0.595625,0.283333,-0.365222,0.283333,All
-0.665021,0.291667,-0.554345,0.291667,-0.34872,0.291667,All
-0.659219,0.3,-0.539701,0.3,-0.340109,0.3,All
