popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
0.837325,1.15624,0.837325,0.049913,1.62474,0.745707,0.657056,0.745707,-0.033528,1.52494,All
0.88127,1.21313,0.88127,0.089936,1.6726,0.785503,0.683647,0.785503,0.00271601,1.56829,All
0.927521,1.27301,0.927521,0.13206,1.72298,0.827422,0.713122,0.827422,0.0408942,1.61395,All
0.9762,1.33603,0.9762,0.176394,1.77601,0.871579,0.744882,0.871579,0.0811098,1.66205,All
1.02743,1.40235,1.02743,0.223055,1.83181,0.918092,0.778343,0.918092,0.123472,1.71271,All
1.03669,1.41433,1.03669,0.231482,1.84189,0.931504,0.788672,0.931504,0.135687,1.72732,All
1.08136,1.47216,1.08136,0.272165,1.89055,0.967087,0.816074,0.967087,0.168094,1.76608,All
1.13811,1.54178,1.13811,0.323852,1.95237,1.0187,0.856892,1.0187,0.215098,1.8223,All
1.19784,1.61252,1.19784,0.378252,2.01743,1.07306,0.902548,1.07306,0.26461,1.88151,All
1.23605,1.65677,1.23605,0.413051,2.05905,1.1173,0.940599,1.1173,0.304901,1.9297,All
1.26071,1.68506,1.26071,0.435507,2.0859,1.13033,0.951803,1.13033,0.316765,1.94389,All
1.32687,1.75895,1.32687,0.495767,2.15797,1.19065,1.00369,1.19065,0.371702,2.00959,All
1.39651,1.83525,1.39651,0.55919,2.23383,1.25419,1.05995,1.25419,0.429572,2.07881,All
1.43541,1.87682,1.43541,0.59462,2.2762,1.3031,1.10497,1.3031,0.474116,2.13208,All
1.4698,1.91347,1.4698,0.625941,2.31366,1.32112,1.12185,1.32112,0.49053,2.15171,All
1.54694,1.99256,1.54694,0.696195,2.39768,1.39162,1.18905,1.39162,0.554741,2.22851,All
1.62813,2.07057,1.62813,0.770137,2.48612,1.46589,1.26149,1.46589,0.622379,2.3094,All
1.63477,2.07642,1.63477,0.776189,2.49336,1.48889,1.28434,1.48889,0.643331,2.33446,All
1.71358,2.14569,1.71358,0.847959,2.57919,1.54412,1.34237,1.54412,0.693626,2.39461,All
1.80351,2.22474,1.80351,0.929866,2.67715,1.62652,1.42897,1.62652,0.768676,2.48437,All
1.83413,2.25166,1.83413,0.957758,2.71051,1.67469,1.47959,1.67469,0.812546,2.53684,All
1.89816,2.30795,1.89816,1.01607,2.78025,1.71332,1.52019,1.71332,0.847731,2.57892,All
1.99778,2.39552,1.99778,1.1068,2.88876,1.80476,1.61627,1.80476,0.931004,2.67851,All
2.0335,2.42691,2.0335,1.13933,2.92766,1.86049,1.67483,1.86049,0.98176,2.73922,All
2.10263,2.48769,2.10263,1.20229,3.00297,1.90107,1.71748,1.90107,1.01872,2.78342,All
2.21298,2.58469,2.21298,1.30279,3.12317,2.00253,1.82475,2.00253,1.11112,2.89393,All
2.23286,2.60216,2.23286,1.3209,3.14482,2.04629,1.87258,2.04629,1.15097,2.9416,All
2.32913,2.68679,2.32913,1.40857,3.24968,2.10939,1.94156,2.10939,1.20845,3.01034,All
