time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
0.25,-0.0785611,0.25,-0.316039,0.25,-0.123791,0.837325,0.228169,0.745707,-0.10121,0.837325,0.248352,All
0.274042,-0.10078,0.274042,-0.377017,0.274042,-0.149174,0.88127,0.226665,0.785503,-0.126961,0.88127,0.245797,All
0.300397,-0.116604,0.300397,-0.420013,0.300397,-0.167183,0.927521,0.225081,0.827422,-0.151366,0.927521,0.243108,All
0.329286,-0.119449,0.329286,-0.426643,0.329286,-0.170246,0.9762,0.223415,0.871579,-0.175752,0.9762,0.240277,All
0.360953,-0.118626,0.360953,-0.422913,0.360953,-0.169071,1.02743,0.221661,0.918092,-0.201427,1.02743,0.237298,All
0.395665,-0.09922,0.395665,-0.367334,0.395665,-0.146523,1.03669,0.221344,0.931504,-0.207565,1.03669,0.23676,All
0.433716,-0.0739544,0.433716,-0.295326,0.433716,-0.117222,1.08136,0.219815,0.967087,-0.223851,1.08136,0.234163,All
0.475426,-0.0462591,0.475426,-0.216392,0.475426,-0.0851036,1.13811,0.217925,1.0187,-0.245471,1.13811,0.23093,All
0.521147,-0.0141243,0.521147,-0.125138,0.521147,-0.04788,1.19784,0.215966,1.07306,-0.26328,1.19784,0.227571,All
0.571265,0.0186371,0.571265,-0.0325981,0.571265,-0.00998115,1.23605,0.214724,1.1173,-0.276093,1.23605,0.22544,All
0.626203,0.0465401,0.626203,0.0459629,0.626203,0.0222945,1.26071,0.213925,1.13033,-0.279865,1.26071,0.224069,All
0.686425,0.064059,0.686425,0.0947723,0.686425,0.0425649,1.32687,0.211799,1.19065,-0.297335,1.32687,0.220426,All
0.738,0.0784476,0.738,0.134818,0.738,0.0592139,1.39651,0.209571,1.25419,-0.312717,1.39651,0.216618,All
0.752438,0.0824754,0.752438,0.146028,0.752438,0.0638745,1.43541,0.208334,1.3031,-0.321355,1.43541,0.214508,All
0.824799,0.0876276,0.824799,0.159359,0.824799,0.06989,1.4698,0.20724,1.32112,-0.323979,1.4698,0.212645,All
0.904119,0.0879933,0.904119,0.158916,0.904119,0.0703911,1.54694,0.204799,1.39162,-0.332077,1.54694,0.208521,All
0.991067,0.0872138,0.991067,0.155079,0.991067,0.069586,1.62813,0.202174,1.46589,-0.337486,1.62813,0.204272,All
1.08638,0.0757392,1.08638,0.120782,1.08638,0.0565579,1.63477,0.201952,1.48889,-0.338367,1.63477,0.203934,All
1.19085,0.0641639,1.19085,0.0865656,1.19085,0.0437285,1.71358,0.199327,1.54412,-0.334368,1.71358,0.199922,All
1.226,0.0612639,1.226,0.0780743,1.226,0.0406632,1.80351,0.196331,1.62652,-0.3284,1.80351,0.195344,All
1.30538,0.0547143,1.30538,0.0588977,1.30538,0.0337405,1.83413,0.19531,1.67469,-0.324912,1.83413,0.193785,All
1.43091,0.0443559,1.43091,0.028569,1.43091,0.022792,1.89816,0.193177,1.71332,-0.322115,1.89816,0.190526,All
